Question,Equation
Each pack of dvds costs 76 dollars. If there is a discount of 25 dollars on each pack How much do you have to pay to buy each pack?,( 76.0 - 25.0 )
Dan had $ 3 left with him after he bought a candy bar. If he had $ 4 at the start How much did the candy bar cost?,( 4.0 - 3.0 )
Paco had 26 salty cookies and 17 sweet cookies. He ate 14 sweet cookies and 9 salty cookies. How many salty cookies did Paco have left?,( 26.0 - 9.0 )
43 children were riding on the bus. At the bus stop some children got off the bus. Then there were 21 children left on the bus. How many children got off the bus at the bus stop?,( 43.0 - 21.0 )
28 children were riding on the bus. At the bus stop 82 children got on the bus while some got off the bus. Then there were 30 children altogether on the bus. How many more children got on the bus than those that got off?,( 30.0 - 28.0 )
There were 3 dollars in Olivia's wallet. She collected 49 more dollars from an atm. After she visited a supermarket there were 49 dollars left. How much more money did she collect at the atm than she spent at the supermarket?,( 49.0 - 3.0 )
Jerry had some action figures on a shelf in his room. Later he added 7 more action figures to the shelf. If there are a total of 10 action figures on his shelf now How many action figures did he have initially on the shelf?,( 10.0 - 7.0 )
Paco had 41 cookies. He gave 9 cookies to his friend and ate 18 cookies. How many more cookies did he eat than those he gave to his friend?,( 18.0 - 9.0 )
Mary is baking a cake. The recipe calls for 3 cups of sugar 10 cups of flour and 15 cups of salt. She already put in 6 cups of flour. How many more cups of flour does she need to add?,( 10.0 - 6.0 )
A waiter had some customers. After 9 customers left he still had 12 customers. How many customers did he have at the start?,( 9.0 + 12.0 )
3 birds were sitting on the fence. 6 more storks and 2 more birds came to join them. How many more storks than birds are sitting on the fence?,( 6.0 - ( 3.0 + 2.0 ) )
They decided to hold the party in their backyard. If they have 11 sets of tables and each set has 13 chairs How many chairs do they have in the backyard?,( 11.0 * 13.0 )